Question,Answer
"Which of the following techniques can be used for keyword normalization in 
NLP, the process of converting a keyword into its base form? 
a. Lemmatization 
b. Soundex 
c. Cosine Similarity 
d. N-grams","a) Lemmatization helps to get to the base form of a word, e.g. are playing -> play, ea ting 
-> eat, etc.Other options are meant for different purposes."
"Which of the following techniques can be used to compute the distance 
between two word vectors in NLP? 
a. Lemmatization 
b. Euclidean distance 
c. Cosine Similarity 
d. N-grams","b) and c) 
Distance between two word vectors can be computed using Cosine similarity and Euclidean 
Distance.  Cosine Similarity establishes a cosine angle between the vector of two words . A cosi ne 
angle close to each other between two word vectors indicates the words are simil ar and vice a 
versa. 
E.g. cosine angle between two words “Football” and “Cricket” will be closer to 1 as co mpared to 
angle between the words “Football” and “New Delhi”"
"What are the possible features of a text corpus in NLP? 
a. Count of the word in a document 
b. Vector notation of the word 
c. Part of Speech Tag 
d. Basic Dependency Grammar 
e. All of the above",e)All of the above can be used as features of the text corpus.
"You created a document term matrix on the input data of 20K documents for a 
Machine learning model. Which of the following can be used to reduce the 
dimensions of data? 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/  1. Keyword Normalization 
2. Latent Semantic Indexing 
3. Latent Dirichlet Allocati on 
 
a. only 1 
b. 2, 3 
c. 1, 3 
d. 1, 2, 3",d)
"Which of the text parsing techniques can be used for noun phrase detection, 
verb phrase detection, subject detection, and object detection in NLP. 
a. Part of speech tagging 
b. Skip Gram and N-Gram extraction 
c. Continuous Bag of Words 
d. Dependency Parsing and Constituency Parsing",d)
"Dissimilarity between words expressed using cosine similarity will have values 
significantly higher than 0.5 
a. True 
b. False",a)
"Which one of the following are keyword Normalization techniques in NLP 
a.  Stemming 
b.  Part of Speech 
c. Named entity recognition 
d. Lemmatization","a) and d) 
Part of Speech (POS) and Named Entity Recognition(NER) are not keyword Norm alization 
techniques. Named Entity help you extract Organization, Time, Date, City, etc..t ype of entities 
from the given sentence, whereas Part of Speech helps you extract Noun, Verb, Pronoun, 
adjective, etc..from the given sentence tokens."
"Which of the below are NLP use cases? 
a. Detecting objects from an image 
b. Facial Recognition 
c. Speech Biometric 
d. Text Summarization 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/","(d) 
a) And b) are Computer Vision use cases, and c) is Speech use case. 
Only d) Text Summarization is an NLP use case."
"In a corpus of N documents, one randomly chosen document contains a total 
of T terms and the term “hello” appears K times.  
What is the correct value for the product of TF (term frequency) and IDF (inverse-docu ment-
frequency), if the term “hello” appears in approximately o ne-third of the total documents? 
a. KT * Log(3) 
b. T * Log(3) / K 
c. K * Log(3) / T 
d. Log(3) / KT","(c) 
formula for TF is K/T 
formula for IDF is log(total docs / no of docs containing “data”)  
= log(1 / (⅓))  
= log (3) 
Hence correct choice is Klog(3 )/T"
"In NLP, The algorithm decreases the weight for commonly used words and 
increases the weight for words that are not used very much in a collection of 
documents 
a. Term Frequency (TF) 
b. Inverse Document Frequency (IDF) 
c. Word2Vec 
d. Latent Dirichlet Allocation (LDA)",b)
"In NLP, The process of removing words like “and”, “is”, “a”, “an”, “the” from 
a sentence is called as 
a. Stemming 
b. Lemmatization 
c. Stop word 
d. All of the above","c) In Lemmatization, all the stop words such as a, an, the, etc.. are removed . One can 
also define custom stop words for removal. 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/"
"In NLP, The process of converting a sentence or paragraph into tokens is 
referred to as Stemming 
a. True 
b. False","b) The statement describes the process of tokenization and not stemming, hence it  is 
False."
"In NLP, Tokens are converted into numbers before giving to any Neural 
Network 
a. True 
b. False","a) In NLP, all words are converted into a number before feeding to a Neural Network. 
 
Q14 Identify the odd one out 
a. nltk 
b. scikit learn 
c. SpaCy 
d. BERT 
 
Answer : d) All the ones mentioned are NLP libraries except BERT, which is a word embedding 
 
 
 
 
 
 
 
 
 
 
Q15 TF-IDF helps you to establish? 
a. most frequently occurring word in the document 
b. most important word in the document 
 
Answer : b) TF-IDF helps to establish how important a particular word is in the contex t of the 
document corpus. TF-IDF takes into account the number of times the word appears in the 
document and offset by the number of documents that appear in the corpus. 
● TF is the frequency of term divided by a total number of terms in the docu ment. 
● IDF is obtained by dividing the total number of documents by the number of documen ts 
containing the term and then taking the logarithm of that quotient. 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/  ● Tf.idf is then the multiplication of two values TF and IDF. 
 
Q16 In NLP, The process of identifying people, an organization from a given 
sentence, paragraph is called 
a. Stemming 
b. Lemmatization 
c. Stop word removal 
d. Named entity recognition 
 
Answer : d) 
 
Q17 Which one of the following is not a pre-processing technique in NLP 
a. Stemming and Lemmatization 
b. converting to lowercase 
c. removing punctuations 
d. removal of stop words 
e. Sentiment analysis 
 
Answer : e) Sentiment Analysis is not a pre-processing technique. It is done after pr e-processing 
and is an NLP use case. All other listed ones are used as part of statement pre-processing.  
 
 
 
 
 
 
 
 
 
 
Q18 In text mining, converting text into tokens and then converting them into an 
integer or floating-point vectors can be done using 
a. CountVectorizer 
b.  TF-IDF 
c. Bag of Words 
d. NERs 
 
Answer : a) CountVectorizer helps do the above, while others are not applicable. 
text =[“Rahul is an avid writer, he enjoys studying understanding and presen ting. He loves to 
play”]  
vectorizer = CountVectorizer() 
vectorizer.fit(text) 
vector = vectorizer.transform(text) 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/  print(vector.toarray()) 
output  
[[1 1 1 1 2 1 1 1 1 1 1 1 1 1]] 
The second section of the interview questions covers advanced NLP techniques such as 
Word2Vec, GloVe  word embeddings, and advanced models such as GPT, ELMo, BERT, XLNET 
based questions, and explanations."
"In NLP, Words represented as vectors are called as Neural Word Embedding s 
a. True 
b. False","a) Word2Vec, GloVe based models build word embedding vectors that are 
multidimensional."
"In NLP, Context modeling is supported with which one of the following word 
embeddings 
1. a. Word2Vec 
2. b) GloVe 
3. c) BERT 
4. d) All of the above","c) Only BERT (Bidirectional Encoder Representations from Transformer) support s 
context modelling where the previous and next sentence context is taken into consider ation. In 
Word2Vec, GloVe only word embeddings are considered and previous and next sentence context 
is not considered."
